Run,Step,Network Density,Average Clustering,Number of Active Edges,Successful Projects,Largest Connected Component Size,Resource Node Degree,Gini Coefficient
0,0,0.49523809523809526,0.8201683501683502,52,0,15,0,0.26543220923621336
0,1,0.5714285714285714,0.8932955932955934,60,0,15,0,0.26543220923621336
0,2,0.5714285714285714,0.8932955932955934,60,0,15,0,0.26543220923621336
0,3,0.5714285714285714,0.8932955932955934,60,0,15,0,0.26543220923621336
0,4,0.5714285714285714,0.8932955932955934,60,0,15,0,0.26543220923621336
0,5,0.5714285714285714,0.8932955932955934,60,0,15,0,0.26543220923621336
0,6,0.5714285714285714,0.8932955932955934,60,0,15,0,0.26543220923621336
0,7,0.5714285714285714,0.8932955932955934,60,0,15,0,0.26543220923621336
0,8,0.7619047619047619,0.8937802937802936,80,0,15,0,0.26543220923621336
0,9,0.7619047619047619,0.8937802937802936,80,0,15,0,0.26543220923621336
0,10,0.8571428571428571,0.9153024753024754,90,0,15,0,0.26543220923621336
0,11,0.9333333333333333,0.9377777777777779,98,0,15,0,0.26543220923621336
0,12,0.9333333333333333,0.9377777777777779,98,0,15,0,0.26543220923621336
0,13,0.9333333333333333,0.9377777777777779,98,0,15,0,0.26543220923621336
0,14,0.9333333333333333,0.9377777777777779,98,0,15,0,0.26543220923621336
0,15,0.9523809523809523,0.9556532356532357,100,0,15,0,0.26543220923621336
0,16,0.9523809523809523,0.9556532356532357,100,0,15,0,0.26543220923621336
0,17,0.9523809523809523,0.9556532356532357,100,0,15,0,0.26543220923621336
0,18,0.9714285714285714,0.9758241758241759,102,0,15,0,0.26543220923621336
0,19,0.9714285714285714,0.9758241758241759,102,0,15,0,0.26543220923621336
0,20,0.9714285714285714,0.9758241758241759,102,0,15,0,0.26543220923621336
0,21,0.9714285714285714,0.9758241758241759,102,0,15,0,0.26543220923621336
0,22,0.9714285714285714,0.9758241758241759,102,0,15,0,0.26543220923621336
0,23,0.9714285714285714,0.9758241758241759,102,0,15,0,0.26543220923621336
0,24,0.9714285714285714,0.9758241758241759,102,0,15,0,0.26543220923621336
