Run,Step,Network Density,Average Clustering,Number of Active Edges,Successful Projects,Largest Connected Component Size,Resource Node Degree,Gini Coefficient
0,32,0.9904761904761905,0.9904761904761905,104,0,15,0,0.2821959218727431
0,33,0.9904761904761905,0.9904761904761905,104,0,15,0,0.2821959218727431
0,34,0.9904761904761905,0.9904761904761905,104,0,15,0,0.2821959218727431
0,35,0.9904761904761905,0.9904761904761905,104,0,15,0,0.2821959218727431
0,36,1.0,1.0,105,0,15,0,0.2821959218727431
0,37,1.0,1.0,105,0,15,0,0.2821959218727431
0,38,1.0,1.0,105,0,15,0,0.2821959218727431
0,39,1.0,1.0,105,0,15,0,0.2821959218727431
0,40,1.0,1.0,105,0,15,0,0.2821959218727431
0,41,1.0,1.0,105,0,15,0,0.2821959218727431
0,42,1.0,1.0,105,0,15,0,0.2821959218727431
0,43,1.0,1.0,105,0,15,0,0.2821959218727431
0,44,1.0,1.0,105,0,15,0,0.2821959218727431
0,45,1.0,1.0,105,0,15,0,0.2821959218727431
0,46,1.0,1.0,105,0,15,0,0.2821959218727431
0,47,1.0,1.0,105,0,15,0,0.2821959218727431
0,48,1.0,1.0,105,0,15,0,0.2821959218727431
0,49,1.0,1.0,91,0,14,0,0.29073745124314576
0,50,1.0,1.0,91,0,14,0,0.29073745124314576
0,51,1.0,1.0,91,0,14,0,0.29073745124314576
0,52,1.0,1.0,91,0,14,0,0.29073745124314576
0,53,1.0,1.0,91,0,14,0,0.29073745124314576
0,54,1.0,1.0,91,0,14,0,0.29073745124314576
0,55,1.0,1.0,91,0,14,0,0.29073745124314576
0,56,1.0,1.0,91,0,14,0,0.29073745124314576
0,57,1.0,1.0,91,0,14,0,0.29073745124314576
0,58,1.0,1.0,91,0,14,0,0.29073745124314576
0,59,1.0,1.0,91,0,14,0,0.29073745124314576
0,60,1.0,1.0,91,0,14,0,0.29073745124314576
0,61,1.0,1.0,91,0,14,0,0.29073745124314576
0,62,1.0,1.0,91,0,14,0,0.29073745124314576
0,63,1.0,1.0,91,0,14,0,0.29073745124314576
0,64,1.0,1.0,91,0,14,0,0.29073745124314576
0,65,1.0,1.0,91,0,14,0,0.29073745124314576
0,66,1.0,1.0,91,0,14,0,0.29073745124314576
0,67,1.0,1.0,91,0,14,0,0.29073745124314576
0,68,1.0,1.0,91,0,14,0,0.29073745124314576
0,69,1.0,1.0,91,0,14,0,0.29073745124314576
0,70,1.0,1.0,91,0,14,0,0.29073745124314576
0,71,1.0,1.0,91,0,14,0,0.29073745124314576
0,72,1.0,1.0,91,0,14,0,0.29073745124314576
0,73,1.0,1.0,91,0,14,0,0.29073745124314576
0,74,1.0,1.0,91,0,14,0,0.29073745124314576
0,75,1.0,1.0,91,0,14,0,0.29073745124314576
0,76,1.0,1.0,91,0,14,0,0.29073745124314576
0,77,1.0,1.0,91,0,14,0,0.29073745124314576
0,78,1.0,1.0,91,0,14,0,0.29073745124314576
0,79,1.0,1.0,91,0,14,0,0.29073745124314576
0,80,1.0,1.0,91,0,14,0,0.29073745124314576
0,81,1.0,1.0,91,0,14,0,0.29073745124314576
